140	=	140
240	=	240
340	=	340
440	=	440
110	=	110
210	=	210
310	=	310
410	=	410
111	=	111
211	=	211
311	=	311
411	=	411
167	=	167
267	=	267
367	=	367
112	=	112
212	=	212
312	=	312
412	=	412
166	=	166
266	=	266
366	=	366
113	=	113
213	=	213
313	=	313
413	=	413
114	=	114
214	=	214
314	=	314
414	=	414
168	=	168
268	=	268
368	=	368
131	=	131
231	=	231
331	=	331
431	=	431
169	=	169
269	=	269
369	=	369
130	=	130
230	=	230
330	=	330
430	=	430
170	=	170
270	=	270
370	=	370
109	=	109
209	=	209
309	=	309
409	=	409
190	=	190
290	=	290
390	=	390
120	=	120
220	=	220
320	=	320
420	=	420
181	=	181
281	=	281
381	=	381
193	=	193
293	=	293
393	=	393
493	=	493
182	=	182
282	=	282
382	=	382
194	=	194
294	=	294
394	=	394
494	=	494
183	=	183
283	=	283
383	=	383
195	=	195
295	=	295
395	=	395
495	=	495
198	=	198
298	=	298
398	=	398
498	=	498
197	=	197
297	=	297
397	=	397
497	=	497
127	=	127
227	=	227
327	=	327
427	=	427
105	=	105
205	=	205
305	=	305
405	=	405
106	=	106
206	=	206
306	=	306
406	=	406
107	=	107
207	=	207
307	=	307
407	=	407
175	=	175
275	=	275
375	=	375
133	=	133
233	=	233
333	=	333
433	=	433
176	=	176
276	=	276
376	=	376
134	=	134
234	=	234
334	=	334
434	=	434
136	=	136
236	=	236
336	=	336
436	=	436
116	=	116
216	=	216
316	=	316
416	=	416
117	=	117
217	=	217
317	=	317
417	=	417
118	=	118
218	=	218
156	=	156
256	=	256
356	=	356
158	=	158
258	=	258
358	=	358
159	=	159
259	=	259
359	=	359
160	=	160
260	=	260
360	=	360
161	=	161
261	=	261
361	=	361
162	=	162
262	=	262
362	=	362
163	=	163
263	=	263
363	=	363
164	=	164
264	=	264
150	=	150
250	=	250
350	=	350
151	=	151
251	=	251
351	=	351
171	=	171
271	=	271
371	=	371
172	=	172
272	=	272
372	=	372
173	=	173
273	=	273
373	=	373
141	=	141
241	=	241
341	=	341
103	=	103
203	=	203
303	=	303
403	=	403
142	=	142
242	=	242
342	=	342
104	=	104
204	=	204
304	=	304
143	=	143
243	=	243
343	=	343
165	=	165
265	=	265
365	=	365
115	=	115
215	=	215
315	=	315
415	=	415
148	=	148
248	=	248
348	=	348
147	=	147
247	=	247
347	=	347
125	=	125
225	=	225
325	=	325
425	=	425
191	=	191
291	=	291
391	=	391
192	=	192
292	=	292
392	=	392
199	=	199
299	=	299
399	=	399
499	=	499
157	=	157
257	=	257
357	=	357
457	=	457
144	=	144
244	=	244
344	=	344
126	=	126
226	=	226
326	=	326
426	=	426
145	=	145
245	=	245
345	=	345
184	=	184
284	=	284
384	=	384
137	=	137
237	=	237
337	=	337
437	=	437
185	=	185
285	=	285
385	=	385
138	=	138
238	=	238
338	=	338
438	=	438
139	=	139
239	=	239
339	=	339
439	=	439
155	=	155
255	=	255
355	=	355
154	=	154
254	=	254
354	=	354
152	=	152
252	=	252
352	=	352
135	=	135
124	=	124
224	=	224
324	=	324
424	=	424
186	=	186
286	=	286
386	=	386
187	=	187
287	=	287
387	=	387
188	=	188
288	=	288
388	=	388
189	=	189
289	=	289
389	=	389
177	=	177
277	=	277
377	=	377
178	=	178
278	=	278
378	=	378
179	=	179
279	=	279
379	=	379
180	=	180
280	=	280
380	=	380
132	=	132
232	=	232
332	=	332
432	=	432
149	=	149
249	=	249
374	=	374
349	=	349
